time (seconds),encoderLeft (meters),encoderRight (meters)
22.302,0.7247487306594849,0.44475606083869934
22.402,0.7297475934028625,0.4497547745704651
22.502,0.7347463965415955,0.45475345849990845
22.602,0.7397451996803284,0.4597521424293518
22.701999999999998,0.744744062423706,0.46475088596343994
22.802,0.7497429251670837,0.4697495996952057
22.902,0.7547417283058167,0.47474825382232666
23.002,0.7597405910491943,0.4797469973564148
23.101,0.7647393941879272,0.48474571108818054
23.202,0.7697381973266602,0.4897443652153015
23.299,0.7747370600700378,0.49474307894706726
23.402,0.7797358632087708,0.4997417628765106
23.502,0.7847346663475037,0.5047404170036316
23.602,0.7897334694862366,0.509739100933075
23.701999999999998,0.7947323322296143,0.5147378444671631
23.802,0.7997311353683472,0.5197365283966064
23.902,0.8047299981117249,0.5247352123260498
24.002,0.8097288012504578,0.5297338962554932
24.102,0.8147276639938354,0.5347326993942261
24.202,0.8197264671325684,0.5397313833236694
24.299,0.824725329875946,0.5447300672531128
24.402,0.829724133014679,0.5497287511825562
24.501,0.8347229361534119,0.5547274351119995
24.603,0.8397218585014343,0.5597261786460876
24.7,0.8447206616401672,0.564724862575531
24.803,0.8497194647789001,0.5697235465049744
24.902,0.8547182679176331,0.5747222304344177
25.002,0.8597171902656555,0.5797209739685059
25.102,0.8647159934043884,0.5847196578979492
25.201,0.8697148561477661,0.5897184014320374
25.302,0.874713659286499,0.5947170853614807
25.401,0.8797125816345215,0.5997158288955688
25.502,0.8847113847732544,0.6047145128250122
25.602,0.8897102475166321,0.6097132563591003
25.701999999999998,0.894709050655365,0.6147119998931885
25.798000000000002,0.8997079133987427,0.6197106838226318
25.901,0.9047067165374756,0.6247093677520752
26.002,0.9097055792808533,0.6297081112861633
26.102,0.9147043824195862,0.6347067952156067
26.2,0.9197032451629639,0.63970547914505
26.301,0.9247020483016968,0.6447041630744934
26.402,0.9297008514404297,0.6497028470039368
26.502,0.9346997141838074,0.6547015905380249
26.602,0.9396985769271851,0.6597002744674683
26.701999999999998,0.944697380065918,0.6646989583969116
26.802,0.9496961832046509,0.669697642326355
26.904,0.9546950459480286,0.6746963858604431
27.002,0.9596191048622131,0.6796703338623047
27.102,0.9571971893310547,0.682195246219635
27.201,0.9621915221214294,0.6871932744979858
27.302,0.9671903252601624,0.6921918988227844
27.402,0.97218918800354,0.6971905827522278
27.502,0.977187991142273,0.7021892666816711
27.602,0.9821868538856506,0.7071879506111145
